samplestamps,C1,C2
84153800,-443.9215393066406,-462.6174621582031
84153802,-2122.8505859375,-2222.162109375
84153804,-1965.02978515625,-2055.80126953125
84153806,-518.9420166015625,-548.1635131835938
84153808,1358.4190673828125,1400.0394287109375
84153810,1216.3157958984375,1223.8050537109375
84153812,1159.027587890625,1176.1658935546875
84153814,983.794189453125,1012.33447265625
84153816,393.2751159667969,422.72503662109375
84153818,-1428.8663330078125,-1482.1004638671875
84153820,-2191.204345703125,-2276.613525390625
84153822,-1480.02783203125,-1541.37841796875
84153824,610.2493286132812,632.056396484375
84153826,1449.2777099609375,1486.2459716796875
84153828,1078.60302734375,1085.3944091796875
84153830,1184.17431640625,1206.4757080078125
84153832,842.8125,875.2572631835938
84153834,-301.913818359375,-305.0623474121094
84153836,-2046.9910888671875,-2126.165283203125
84153838,-2011.015625,-2079.86376953125
84153840,-637.1488647460938,-649.2486572265625
84153842,1298.472412109375,1361.9580078125
84153844,1194.3717041015625,1226.4052734375
84153846,1133.490478515625,1166.2259521484375
84153848,999.1256103515625,1032.8289794921875
84153850,481.5169372558594,516.1382446289062
84153852,-1291.76416015625,-1330.36474609375
84153854,-2239.811279296875,-2316.505859375
84153856,-1595.2772216796875,-1645.90283203125
84153858,422.5921325683594,457.2093200683594
84153860,1502.7528076171875,1560.290283203125
84153862,1099.791259765625,1124.1279296875
84153864,1166.5291748046875,1200.87646484375
84153866,807.2440795898438,848.6567993164062
84153868,-206.24513244628906,-195.2958984375
84153870,-2027.65966796875,-2104.474609375
84153872,-1998.23876953125,-2072.2333984375
84153874,-781.1669921875,-803.4060668945312
84153876,1243.6431884765625,1298.8131103515625
84153878,1267.705810546875,1292.030029296875
84153880,1134.179931640625,1150.151123046875
84153882,1021.7800903320312,1046.2579345703125
84153884,523.5402221679688,552.6536865234375
84153886,-1155.8167724609375,-1202.17236328125
84153888,-2271.0888671875,-2362.662109375
84153890,-1664.73583984375,-1737.318115234375
84153892,259.363037109375,269.62274169921875
84153894,1457.6600341796875,1494.619873046875
84153896,1060.3017578125,1065.3734130859375
84153898,1143.226806640625,1161.8397216796875
84153900,830.3388061523438,859.7431030273438
84153902,-99.73934936523438,-94.3311996459961
84153904,-1999.364501953125,-2076.287353515625
84153906,-2136.47900390625,-2215.092529296875
84153908,-950.5311279296875,-981.2562866210938
84153910,1149.6983642578125,1197.1795654296875
84153912,1276.6488037109375,1301.749755859375
84153914,1114.329345703125,1129.278564453125
84153916,1015.6034545898438,1039.2464599609375
84153918,569.21044921875,594.2159423828125
84153920,-1063.6953125,-1104.94189453125
84153922,-2264.1689453125,-2361.64453125
84153924,-1771.7567138671875,-1844.3514404296875
84153926,175.68614196777344,181.85028076171875
84153928,1481.53564453125,1526.238037109375
84153930,1105.232666015625,1115.1807861328125
84153932,1156.2197265625,1173.4908447265625
84153934,902.8961791992188,929.9618530273438
84153936,33.17999267578125,45.90701675415039
84153938,-1884.052734375,-1952.273681640625
84153940,-2143.93505859375,-2217.47265625
84153942,-1047.3836669921875,-1080.5262451171875
84153944,1046.274658203125,1099.8826904296875
84153946,1314.89208984375,1351.046142578125
84153948,1113.2535400390625,1139.3514404296875
84153950,1051.16357421875,1083.2760009765625
84153952,629.5682983398438,667.0847778320312
84153954,-945.791748046875,-974.3818359375
84153956,-2271.475341796875,-2355.451171875
84153958,-1780.811767578125,-1844.260009765625
84153960,5.931525707244873,11.817359924316406
84153962,1507.15576171875,1559.28515625
84153964,1118.8277587890625,1128.7344970703125
84153966,1200.249267578125,1217.9150390625
84153968,925.0853881835938,952.1552734375
84153970,130.64309692382812,138.66810607910156
84153972,-1824.6751708984375,-1904.4600830078125
84153974,-2187.78173828125,-2279.180419921875
84153976,-1175.4140625,-1226.2889404296875
84153978,991.33740234375,1025.6513671875
84153980,1348.47509765625,1367.5821533203125
84153982,1118.33349609375,1126.6658935546875
84153984,1092.8878173828125,1120.49755859375
84153986,701.307373046875,731.2266845703125
84153988,-781.8482055664062,-807.298095703125
