samplestamps,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16
84756026,-546.4937133789062,-526.3232421875,-522.5599365234375,-521.222412109375,-530.4893798828125,-540.03466796875,-542.447998046875,-540.5746459960938,-532.4915161132812,-540.350341796875,-549.0441284179688,-553.7627563476562,-537.1685791015625,-542.0035400390625,-543.4697875976562,-543.1499633789062
84756028,-2769.270751953125,-2840.51953125,-2907.984375,-2903.145263671875,-2915.5732421875,-2882.426513671875,-2924.894287109375,-2808.99267578125,-2916.861083984375,-2923.3408203125,-2940.499755859375,-2941.048095703125,-2921.07275390625,-2905.068603515625,-2891.253173828125,-2817.304443359375
84756030,-2640.47607421875,-2703.33447265625,-2761.5654296875,-2756.7138671875,-2773.34130859375,-2733.448974609375,-2771.91650390625,-2667.35888671875,-2761.511474609375,-2771.63818359375,-2788.489990234375,-2790.193115234375,-2772.3486328125,-2757.4658203125,-2735.02734375,-2663.60400390625
84756032,-952.3006591796875,-952.0722045898438,-965.1605834960938,-953.6381225585938,-969.0111083984375,-959.73583984375,-968.86572265625,-932.5911865234375,-957.7628173828125,-966.2821044921875,-975.3455200195312,-975.6072387695312,-970.8013305664062,-965.0151977539062,-955.4076538085938,-930.327392578125
84756034,1437.767822265625,1514.8609619140625,1569.89794921875,1572.066162109375,1562.2550048828125,1536.472900390625,1567.6632080078125,1498.541015625,1578.9613037109375,1570.230224609375,1573.9935302734375,1565.06298828125,1566.7991943359375,1558.1220703125,1550.184326171875,1502.7071533203125
84756036,1323.943115234375,1369.3143310546875,1413.0115966796875,1403.889892578125,1396.46728515625,1380.6290283203125,1403.150634765625,1362.85107421875,1408.388427734375,1403.3748779296875,1401.937744140625,1398.5233154296875,1402.265869140625,1393.5595703125,1390.46923828125,1343.718994140625
84756038,1202.10595703125,1244.125,1284.702880859375,1276.819091796875,1270.546875,1257.3297119140625,1283.556396484375,1237.744873046875,1287.6602783203125,1280.3746337890625,1277.138916015625,1279.1202392578125,1273.27587890625,1264.4991455078125,1261.7784423828125,1220.2784423828125
84756040,1051.26318359375,1098.87744140625,1138.408447265625,1134.981689453125,1129.7105712890625,1109.577392578125,1142.861328125,1086.171142578125,1142.7449951171875,1133.9930419921875,1132.4686279296875,1134.2547607421875,1129.278564453125,1115.633544921875,1115.222412109375,1073.7723388671875
84756042,436.6441955566406,478.970703125,513.7540283203125,508.0800476074219,505.085205078125,491.5897216796875,512.8568115234375,463.198974609375,511.9097595214844,503.64385986328125,504.0675354003906,498.5513916015625,501.6583557128906,490.8628234863281,492.4495544433594,463.9383544921875
84756044,-1780.07666015625,-1818.5775146484375,-1850.4075927734375,-1853.601806640625,-1863.5374755859375,-1842.8602294921875,-1860.052490234375,-1800.6832275390625,-1864.0484619140625,-1867.026611328125,-1872.3475341796875,-1874.2125244140625,-1865.739013671875,-1858.154296875,-1841.5684814453125,-1802.3988037109375
84756046,-2918.314697265625,-3002.602294921875,-3075.795166015625,-3073.556396484375,-3085.73095703125,-3040.36376953125,-3081.032958984375,-2964.550048828125,-3081.456787109375,-3085.78076171875,-3096.667724609375,-3096.588623046875,-3078.656982421875,-3056.609130859375,-3037.54345703125,-2957.2353515625
84756048,-2044.989013671875,-2100.740478515625,-2155.73583984375,-2151.38671875,-2160.77001953125,-2126.435302734375,-2153.9580078125,-2074.272705078125,-2150.905029296875,-2154.892578125,-2167.478271484375,-2165.8583984375,-2149.364013671875,-2135.399169921875,-2121.28466796875,-2064.681884765625
84756050,415.7052307128906,450.81256103515625,467.21563720703125,469.238525390625,468.0007019042969,457.8739013671875,472.283203125,441.3545227050781,478.1731872558594,470.1191101074219,470.1149597167969,463.6517333984375,475.8180236816406,473.52099609375,469.1055908203125,452.7565002441406
84756052,1661.126220703125,1720.4249267578125,1765.4222412109375,1760.2135009765625,1766.48974609375,1738.0035400390625,1763.8438720703125,1691.743408203125,1772.491943359375,1764.8489990234375,1773.3101806640625,1762.6558837890625,1769.80859375,1754.1282958984375,1744.24658203125,1691.68115234375
84756054,1207.1900634765625,1231.9879150390625,1256.6734619140625,1252.0711669921875,1256.6527099609375,1239.7137451171875,1249.1552734375,1216.436279296875,1254.2352294921875,1252.00048828125,1258.5550537109375,1243.381591796875,1259.6600341796875,1247.16552734375,1237.711669921875,1203.127685546875
84756056,1268.1710205078125,1307.2451171875,1334.9630126953125,1335.9639892578125,1336.9234619140625,1316.69482421875,1326.2193603515625,1289.35498046875,1335.448974609375,1336.2008056640625,1341.932861328125,1323.33251953125,1340.8321533203125,1324.811279296875,1317.5546875,1276.1212158203125
84756058,896.58251953125,942.435546875,967.8231201171875,973.114990234375,976.0724487304688,951.7897338867188,962.1034545898438,920.3584594726562,977.073486328125,976.5252075195312,981.32275390625,965.4804077148438,979.0963134765625,962.9009399414062,957.2933959960938,918.9918823242188
84756060,-396.3987121582031,-386.9115905761719,-392.5565185546875,-387.248046875,-380.65191650390625,-389.01336669921875,-400.4070739746094,-394.7455139160156,-380.35284423828125,-385.1504211425781,-374.25933837890625,-391.1774597167969,-378.4753723144531,-382.1057434082031,-385.0715026855469,-386.42974853515625
